Heap,
Quick,
Intro,
5,7,6,6,5,5,5,5,6,6,7,7,6,6,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,6,6,5,5,5,5,6,6,6,5,12,6,5,5,8,6,11,5,5,5,5,6,5,7,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,6,5,6,5,5,4,5,
Quick,2,3,3,3,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,6,3,2,3,4,2,2,3,3,3,3,2,2,4,4,3,2,2,11,2,2,4,8,4,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,
Intro,5,5,5,6,5,5,6,7,6,6,6,8,6,7,5,6,6,6,6,6,6,5,5,5,5,5,5,6,6,7,6,6,5,5,5,5,5,5,5,6,7,6,6,5,8,6,6,6,6,9,7,6,7,5,5,6,5,5,6,8,5,5,8,6,11,5,10,5,5,9,5,12,11,14,6,6,5,6,5,5,5,5,5,5,5,7,5,5,6,5,5,5,5,5,6,6,5,5,5,5,
